id,team,element_type,first_name,second_name,web_name
360,16,2,Eric,Dier,Dier
361,16,2,Mousa,Dembele,Dembele
362,16,2,Erik,Lamela,Lamela
363,16,2,Christian,Eriksen,Eriksen
364,16,2,Bamidele,Alli,Alli
365,16,2,Victor,Wanyama,Wanyama
366,16,2,Heung-Min,Son,Son
367,16,2,Harry,Winks,Winks
368,16,2,Moussa,Sissoko,Sissoko
369,16,2,Lucas,Rodrigues Moura da Silva,Lucas Moura
370,16,3,Fernando,Llorente,Llorente
371,16,3,Harry,Kane,Kane
372,17,0,Heurelho,Gomes,Gomes
373,17,0,Pontus,Dahlberg,Dahlberg
374,17,1,Younes,Kaboul,Kaboul
375,17,1,Craig,Cathcart,Cathcart
376,17,1,Sebastian,Prodl,Prodl
377,17,1,Jose,Holebas,Holebas
378,17,1,Miguel,Britos,Britos
379,17,1,Christian,Kabasele,Kabasele
380,17,1,Daryl,Janmaat,Janmaat
381,17,1,Adrian,Mariappa,Mariappa
382,17,1,Francisco,Femenia Far,Kiko Femenia
383,17,1,Marvin,Zeegelaar,Zeegelaar
384,17,1,Marc,Navarro,Navarro
385,17,1,Adam,Masina,Masina
386,17,2,Nathaniel,Chalobah,Chalobah
387,17,2,Tom,Cleverley,Cleverley
388,17,2,Etienne,Capoue,Capoue
389,17,2,Abdoulaye,Doucoure,Doucoure
390,17,2,Roberto,Pereyra,Pereyra
391,17,2,Will,Hughes,Hughes
392,7,2,Richarlison,de Andrade,Richarlison
393,17,2,Gerard,Deulofeu,Deulofeu
394,17,3,Andre,Gray,Gray
395,17,3,Troy,Deeney,Deeney
396,17,3,Stefano,Okaka,Okaka
397,17,3,Jerome,Sinclair,Sinclair
398,18,0,Adrian,San Miguel del Castillo,Adrian
399,18,0,Lukasz,Fabianski,Fabianski
400,18,1,Winston,Reid,Reid
401,18,1,Aaron,Cresswell,Cresswell
402,18,1,Angelo,Ogbonna,Ogbonna
403,18,1,Sam,Byram,Byram
404,18,1,Pablo,Zabaleta,Zabaleta
405,18,1,Declan,Rice,Rice
406,18,1,Reece,Oxford,Oxford
407,18,1,Ryan,Fredericks,Fredericks
408,18,1,Issa,Diop,Diop
409,18,2,Arthur,Masuaku,Masuaku
410,18,2,Mark,Noble,Noble
411,6,2,Cheikhou,Kouyate,Kouyate
412,18,2,Pedro,Obiang,Obiang
413,18,2,Manuel,Lanzini,Lanzini
414,18,2,Michail,Antonio,Antonio
415,18,2,Edimilson,Fernandes,Fernandes
416,18,3,Marko,Arnautovic,Arnautovic
417,18,3,Andy,Carroll,Carroll
418,18,3,Javier,Hernandez Balcazar,Chicharito
419,18,3,Jordan,Hugill,Hugill
420,19,0,John,Ruddy,Ruddy
421,19,0,Will,Norris,Norris
422,19,1,Willy,Boly,Boly
423,19,1,Barry,Douglas,Douglas
424,19,1,Matt,Doherty,Doherty
425,19,1,Romain,Saiss,Saiss
426,19,1,Ryan,Bennett,Bennett
427,19,1,Danny,Batth,Batth
428,19,1,Roderick Jefferson,Goncalves Miranda,Miranda
429,19,1,Conor,Coady,Coady
430,19,1,Ruben Goncalo,Silva Nascimento Vinagre,Vinagre
431,19,2,Diogo,Jota,Jota
432,19,2,Ruben Diogo,da Silva Neves,Neves
433,19,2,Ivan,Cavaleiro,Cavaleiro
434,19,2,Helder,Costa,Costa
435,19,2,Bright,Enobakhare,Enobakhare
436,19,3,Raul,Jimenez,Jimenez
437,19,3,Bonatini Lohner Maia,Bonatini,Bonatini
438,2,0,Jason,Steele,Steele
439,2,1,Bernardo,Fernandes da Silva Junior,Bernardo
440,6,1,Joel,Ward,Ward
441,6,1,Jaroslaw,Jach,Jach
442,6,1,Pape,Souare,Souare
443,6,3,Connor,Wickham,Wickham
444,17,0,Ben,Foster,Foster
445,17,2,Ken,Sema,Sema
446,18,2,Jack,Wilshere,Wilshere
447,19,2,Morgan,Gibbs-White,Gibbs-White
448,19,3,Rafa,Mir,Mir
449,0,2,Lucas,Torreira,Torreira
450,0,2,Matteo,Guendouzi,Guendouzi
451,15,0,Angus,Gunn,Gunn
452,18,2,Andriy,Yarmolenko,Yarmolenko
453,19,0,Rui Pedro,dos Santos Patricio,Patricio
454,8,1,Maxime,Le Marchand,Le Marchand
455,8,2,Jean Michael,Seri,Seri
